origin	destination	destination_urban_proportion
canada	united_states	0.81788
canada	bermuda	1.0
canada	mexico	0.79517
canada	belize	0.43845
canada	guatemala	0.5203
canada	honduras	0.55315
canada	el_salvador	0.67189
canada	nicaragua	0.59107
canada	costa_rica	0.77675
canada	panama	0.66895
canada	bahamas	0.82951
canada	cuba	0.77184
canada	turks_caicos_islands	0.92502
canada	cayman_islands	1.0
canada	jamaica	0.5503
canada	haiti	0.59794
canada	dominican_republic	0.79841
canada	puerto_rico	0.93569
canada	united_states_virgin_islands	0.95459
canada	saint_kitts_nevis	0.32153
canada	antigua_barbuda	0.23393
canada	guadeloupe	0.984
canada	dominica	0.6982
canada	martinique	0.889
canada	saint_lucia	0.1854
canada	saint_vincent_grenadines	0.50899
canada	barbados	0.31415
canada	grenada	0.35616
canada	trinidad_tobago	0.08352
canada	curacao	0.89241
canada	aruba	0.41304
canada	french_guiana	0.844
canada	suriname	0.66015
canada	guyana	0.28661
canada	venezuela	0.89043
canada	colombia	0.76708
canada	ecuador	0.63976
canada	peru	0.78924
canada	bolivia	0.68911
canada	brazil	0.85933
canada	paraguay	0.59924
canada	uruguay	0.9546
canada	argentina	0.91893
canada	chile	0.89697
united_states	canada	0.82006
united_states	bermuda	1.0
united_states	mexico	0.79517
united_states	belize	0.43845
united_states	guatemala	0.5203
united_states	honduras	0.55315
united_states	el_salvador	0.67189
united_states	nicaragua	0.59107
united_states	costa_rica	0.77675
united_states	panama	0.66895
united_states	bahamas	0.82951
united_states	cuba	0.77184
united_states	turks_caicos_islands	0.92502
united_states	cayman_islands	1.0
united_states	jamaica	0.5503
united_states	haiti	0.59794
united_states	dominican_republic	0.79841
united_states	puerto_rico	0.93569
united_states	united_states_virgin_islands	0.95459
united_states	saint_kitts_nevis	0.32153
united_states	antigua_barbuda	0.23393
united_states	guadeloupe	0.984
united_states	dominica	0.6982
united_states	martinique	0.889
united_states	saint_lucia	0.1854
united_states	saint_vincent_grenadines	0.50899
united_states	barbados	0.31415
united_states	grenada	0.35616
united_states	trinidad_tobago	0.08352
united_states	curacao	0.89241
united_states	aruba	0.41304
united_states	french_guiana	0.844
united_states	suriname	0.66015
united_states	guyana	0.28661
united_states	venezuela	0.89043
united_states	colombia	0.76708
united_states	ecuador	0.63976
united_states	peru	0.78924
united_states	bolivia	0.68911
united_states	brazil	0.85933
united_states	paraguay	0.59924
united_states	uruguay	0.9546
united_states	argentina	0.91893
united_states	chile	0.89697
bermuda	canada	0.82006
bermuda	united_states	0.81788
bermuda	mexico	0.79517
bermuda	belize	0.43845
bermuda	guatemala	0.5203
bermuda	honduras	0.55315
bermuda	el_salvador	0.67189
bermuda	nicaragua	0.59107
bermuda	costa_rica	0.77675
bermuda	panama	0.66895
bermuda	bahamas	0.82951
bermuda	cuba	0.77184
bermuda	turks_caicos_islands	0.92502
bermuda	cayman_islands	1.0
bermuda	jamaica	0.5503
bermuda	haiti	0.59794
bermuda	dominican_republic	0.79841
bermuda	puerto_rico	0.93569
bermuda	united_states_virgin_islands	0.95459
bermuda	saint_kitts_nevis	0.32153
bermuda	antigua_barbuda	0.23393
bermuda	guadeloupe	0.984
bermuda	dominica	0.6982
bermuda	martinique	0.889
bermuda	saint_lucia	0.1854
bermuda	saint_vincent_grenadines	0.50899
bermuda	barbados	0.31415
bermuda	grenada	0.35616
bermuda	trinidad_tobago	0.08352
bermuda	curacao	0.89241
bermuda	aruba	0.41304
bermuda	french_guiana	0.844
bermuda	suriname	0.66015
bermuda	guyana	0.28661
bermuda	venezuela	0.89043
bermuda	colombia	0.76708
bermuda	ecuador	0.63976
bermuda	peru	0.78924
bermuda	bolivia	0.68911
bermuda	brazil	0.85933
bermuda	paraguay	0.59924
bermuda	uruguay	0.9546
bermuda	argentina	0.91893
bermuda	chile	0.89697
mexico	canada	0.82006
mexico	united_states	0.81788
mexico	bermuda	1.0
mexico	belize	0.43845
mexico	guatemala	0.5203
mexico	honduras	0.55315
mexico	el_salvador	0.67189
mexico	nicaragua	0.59107
mexico	costa_rica	0.77675
mexico	panama	0.66895
mexico	bahamas	0.82951
mexico	cuba	0.77184
mexico	turks_caicos_islands	0.92502
mexico	cayman_islands	1.0
mexico	jamaica	0.5503
mexico	haiti	0.59794
mexico	dominican_republic	0.79841
mexico	puerto_rico	0.93569
mexico	united_states_virgin_islands	0.95459
mexico	saint_kitts_nevis	0.32153
mexico	antigua_barbuda	0.23393
mexico	guadeloupe	0.984
mexico	dominica	0.6982
mexico	martinique	0.889
mexico	saint_lucia	0.1854
mexico	saint_vincent_grenadines	0.50899
mexico	barbados	0.31415
mexico	grenada	0.35616
mexico	trinidad_tobago	0.08352
mexico	curacao	0.89241
mexico	aruba	0.41304
mexico	french_guiana	0.844
mexico	suriname	0.66015
mexico	guyana	0.28661
mexico	venezuela	0.89043
mexico	colombia	0.76708
mexico	ecuador	0.63976
mexico	peru	0.78924
mexico	bolivia	0.68911
mexico	brazil	0.85933
mexico	paraguay	0.59924
mexico	uruguay	0.9546
mexico	argentina	0.91893
mexico	chile	0.89697
belize	canada	0.82006
belize	united_states	0.81788
belize	bermuda	1.0
belize	mexico	0.79517
belize	guatemala	0.5203
belize	honduras	0.55315
belize	el_salvador	0.67189
belize	nicaragua	0.59107
belize	costa_rica	0.77675
belize	panama	0.66895
belize	bahamas	0.82951
belize	cuba	0.77184
belize	turks_caicos_islands	0.92502
belize	cayman_islands	1.0
belize	jamaica	0.5503
belize	haiti	0.59794
belize	dominican_republic	0.79841
belize	puerto_rico	0.93569
belize	united_states_virgin_islands	0.95459
belize	saint_kitts_nevis	0.32153
belize	antigua_barbuda	0.23393
belize	guadeloupe	0.984
belize	dominica	0.6982
belize	martinique	0.889
belize	saint_lucia	0.1854
belize	saint_vincent_grenadines	0.50899
belize	barbados	0.31415
belize	grenada	0.35616
belize	trinidad_tobago	0.08352
belize	curacao	0.89241
belize	aruba	0.41304
belize	french_guiana	0.844
belize	suriname	0.66015
belize	guyana	0.28661
belize	venezuela	0.89043
belize	colombia	0.76708
belize	ecuador	0.63976
belize	peru	0.78924
belize	bolivia	0.68911
belize	brazil	0.85933
belize	paraguay	0.59924
belize	uruguay	0.9546
belize	argentina	0.91893
belize	chile	0.89697
guatemala	canada	0.82006
guatemala	united_states	0.81788
guatemala	bermuda	1.0
guatemala	mexico	0.79517
guatemala	belize	0.43845
guatemala	honduras	0.55315
guatemala	el_salvador	0.67189
guatemala	nicaragua	0.59107
guatemala	costa_rica	0.77675
guatemala	panama	0.66895
guatemala	bahamas	0.82951
guatemala	cuba	0.77184
guatemala	turks_caicos_islands	0.92502
guatemala	cayman_islands	1.0
guatemala	jamaica	0.5503
guatemala	haiti	0.59794
guatemala	dominican_republic	0.79841
guatemala	puerto_rico	0.93569
guatemala	united_states_virgin_islands	0.95459
guatemala	saint_kitts_nevis	0.32153
guatemala	antigua_barbuda	0.23393
guatemala	guadeloupe	0.984
guatemala	dominica	0.6982
guatemala	martinique	0.889
guatemala	saint_lucia	0.1854
guatemala	saint_vincent_grenadines	0.50899
guatemala	barbados	0.31415
guatemala	grenada	0.35616
guatemala	trinidad_tobago	0.08352
guatemala	curacao	0.89241
guatemala	aruba	0.41304
guatemala	french_guiana	0.844
guatemala	suriname	0.66015
guatemala	guyana	0.28661
guatemala	venezuela	0.89043
guatemala	colombia	0.76708
guatemala	ecuador	0.63976
guatemala	peru	0.78924
guatemala	bolivia	0.68911
guatemala	brazil	0.85933
guatemala	paraguay	0.59924
guatemala	uruguay	0.9546
guatemala	argentina	0.91893
guatemala	chile	0.89697
honduras	canada	0.82006
honduras	united_states	0.81788
honduras	bermuda	1.0
honduras	mexico	0.79517
honduras	belize	0.43845
honduras	guatemala	0.5203
honduras	el_salvador	0.67189
honduras	nicaragua	0.59107
honduras	costa_rica	0.77675
honduras	panama	0.66895
honduras	bahamas	0.82951
honduras	cuba	0.77184
honduras	turks_caicos_islands	0.92502
honduras	cayman_islands	1.0
honduras	jamaica	0.5503
honduras	haiti	0.59794
honduras	dominican_republic	0.79841
honduras	puerto_rico	0.93569
honduras	united_states_virgin_islands	0.95459
honduras	saint_kitts_nevis	0.32153
honduras	antigua_barbuda	0.23393
honduras	guadeloupe	0.984
honduras	dominica	0.6982
honduras	martinique	0.889
honduras	saint_lucia	0.1854
honduras	saint_vincent_grenadines	0.50899
honduras	barbados	0.31415
honduras	grenada	0.35616
honduras	trinidad_tobago	0.08352
honduras	curacao	0.89241
honduras	aruba	0.41304
honduras	french_guiana	0.844
honduras	suriname	0.66015
honduras	guyana	0.28661
honduras	venezuela	0.89043
honduras	colombia	0.76708
honduras	ecuador	0.63976
honduras	peru	0.78924
honduras	bolivia	0.68911
honduras	brazil	0.85933
honduras	paraguay	0.59924
honduras	uruguay	0.9546
honduras	argentina	0.91893
honduras	chile	0.89697
el_salvador	canada	0.82006
el_salvador	united_states	0.81788
el_salvador	bermuda	1.0
el_salvador	mexico	0.79517
el_salvador	belize	0.43845
el_salvador	guatemala	0.5203
el_salvador	honduras	0.55315
el_salvador	nicaragua	0.59107
el_salvador	costa_rica	0.77675
el_salvador	panama	0.66895
el_salvador	bahamas	0.82951
el_salvador	cuba	0.77184
el_salvador	turks_caicos_islands	0.92502
el_salvador	cayman_islands	1.0
el_salvador	jamaica	0.5503
el_salvador	haiti	0.59794
el_salvador	dominican_republic	0.79841
el_salvador	puerto_rico	0.93569
el_salvador	united_states_virgin_islands	0.95459
el_salvador	saint_kitts_nevis	0.32153
el_salvador	antigua_barbuda	0.23393
el_salvador	guadeloupe	0.984
el_salvador	dominica	0.6982
el_salvador	martinique	0.889
el_salvador	saint_lucia	0.1854
el_salvador	saint_vincent_grenadines	0.50899
el_salvador	barbados	0.31415
el_salvador	grenada	0.35616
el_salvador	trinidad_tobago	0.08352
el_salvador	curacao	0.89241
el_salvador	aruba	0.41304
el_salvador	french_guiana	0.844
el_salvador	suriname	0.66015
el_salvador	guyana	0.28661
el_salvador	venezuela	0.89043
el_salvador	colombia	0.76708
el_salvador	ecuador	0.63976
el_salvador	peru	0.78924
el_salvador	bolivia	0.68911
el_salvador	brazil	0.85933
el_salvador	paraguay	0.59924
el_salvador	uruguay	0.9546
el_salvador	argentina	0.91893
el_salvador	chile	0.89697
nicaragua	canada	0.82006
nicaragua	united_states	0.81788
nicaragua	bermuda	1.0
nicaragua	mexico	0.79517
nicaragua	belize	0.43845
nicaragua	guatemala	0.5203
nicaragua	honduras	0.55315
nicaragua	el_salvador	0.67189
nicaragua	costa_rica	0.77675
nicaragua	panama	0.66895
nicaragua	bahamas	0.82951
nicaragua	cuba	0.77184
nicaragua	turks_caicos_islands	0.92502
nicaragua	cayman_islands	1.0
nicaragua	jamaica	0.5503
nicaragua	haiti	0.59794
nicaragua	dominican_republic	0.79841
nicaragua	puerto_rico	0.93569
nicaragua	united_states_virgin_islands	0.95459
nicaragua	saint_kitts_nevis	0.32153
nicaragua	antigua_barbuda	0.23393
nicaragua	guadeloupe	0.984
nicaragua	dominica	0.6982
nicaragua	martinique	0.889
nicaragua	saint_lucia	0.1854
nicaragua	saint_vincent_grenadines	0.50899
nicaragua	barbados	0.31415
nicaragua	grenada	0.35616
nicaragua	trinidad_tobago	0.08352
nicaragua	curacao	0.89241
nicaragua	aruba	0.41304
nicaragua	french_guiana	0.844
nicaragua	suriname	0.66015
nicaragua	guyana	0.28661
nicaragua	venezuela	0.89043
nicaragua	colombia	0.76708
nicaragua	ecuador	0.63976
nicaragua	peru	0.78924
nicaragua	bolivia	0.68911
nicaragua	brazil	0.85933
nicaragua	paraguay	0.59924
nicaragua	uruguay	0.9546
nicaragua	argentina	0.91893
nicaragua	chile	0.89697
costa_rica	canada	0.82006
costa_rica	united_states	0.81788
costa_rica	bermuda	1.0
costa_rica	mexico	0.79517
costa_rica	belize	0.43845
costa_rica	guatemala	0.5203
costa_rica	honduras	0.55315
costa_rica	el_salvador	0.67189
costa_rica	nicaragua	0.59107
costa_rica	panama	0.66895
costa_rica	bahamas	0.82951
costa_rica	cuba	0.77184
costa_rica	turks_caicos_islands	0.92502
costa_rica	cayman_islands	1.0
costa_rica	jamaica	0.5503
costa_rica	haiti	0.59794
costa_rica	dominican_republic	0.79841
costa_rica	puerto_rico	0.93569
costa_rica	united_states_virgin_islands	0.95459
costa_rica	saint_kitts_nevis	0.32153
costa_rica	antigua_barbuda	0.23393
costa_rica	guadeloupe	0.984
costa_rica	dominica	0.6982
costa_rica	martinique	0.889
costa_rica	saint_lucia	0.1854
costa_rica	saint_vincent_grenadines	0.50899
costa_rica	barbados	0.31415
costa_rica	grenada	0.35616
costa_rica	trinidad_tobago	0.08352
costa_rica	curacao	0.89241
costa_rica	aruba	0.41304
costa_rica	french_guiana	0.844
costa_rica	suriname	0.66015
costa_rica	guyana	0.28661
costa_rica	venezuela	0.89043
costa_rica	colombia	0.76708
costa_rica	ecuador	0.63976
costa_rica	peru	0.78924
costa_rica	bolivia	0.68911
costa_rica	brazil	0.85933
costa_rica	paraguay	0.59924
costa_rica	uruguay	0.9546
costa_rica	argentina	0.91893
costa_rica	chile	0.89697
panama	canada	0.82006
panama	united_states	0.81788
panama	bermuda	1.0
panama	mexico	0.79517
panama	belize	0.43845
panama	guatemala	0.5203
panama	honduras	0.55315
panama	el_salvador	0.67189
panama	nicaragua	0.59107
panama	costa_rica	0.77675
panama	bahamas	0.82951
panama	cuba	0.77184
panama	turks_caicos_islands	0.92502
panama	cayman_islands	1.0
panama	jamaica	0.5503
panama	haiti	0.59794
panama	dominican_republic	0.79841
panama	puerto_rico	0.93569
panama	united_states_virgin_islands	0.95459
panama	saint_kitts_nevis	0.32153
panama	antigua_barbuda	0.23393
panama	guadeloupe	0.984
panama	dominica	0.6982
panama	martinique	0.889
panama	saint_lucia	0.1854
panama	saint_vincent_grenadines	0.50899
panama	barbados	0.31415
panama	grenada	0.35616
panama	trinidad_tobago	0.08352
panama	curacao	0.89241
panama	aruba	0.41304
panama	french_guiana	0.844
panama	suriname	0.66015
panama	guyana	0.28661
panama	venezuela	0.89043
panama	colombia	0.76708
panama	ecuador	0.63976
panama	peru	0.78924
panama	bolivia	0.68911
panama	brazil	0.85933
panama	paraguay	0.59924
panama	uruguay	0.9546
panama	argentina	0.91893
panama	chile	0.89697
bahamas	canada	0.82006
bahamas	united_states	0.81788
bahamas	bermuda	1.0
bahamas	mexico	0.79517
bahamas	belize	0.43845
bahamas	guatemala	0.5203
bahamas	honduras	0.55315
bahamas	el_salvador	0.67189
bahamas	nicaragua	0.59107
bahamas	costa_rica	0.77675
bahamas	panama	0.66895
bahamas	cuba	0.77184
bahamas	turks_caicos_islands	0.92502
bahamas	cayman_islands	1.0
bahamas	jamaica	0.5503
bahamas	haiti	0.59794
bahamas	dominican_republic	0.79841
bahamas	puerto_rico	0.93569
bahamas	united_states_virgin_islands	0.95459
bahamas	saint_kitts_nevis	0.32153
bahamas	antigua_barbuda	0.23393
bahamas	guadeloupe	0.984
bahamas	dominica	0.6982
bahamas	martinique	0.889
bahamas	saint_lucia	0.1854
bahamas	saint_vincent_grenadines	0.50899
bahamas	barbados	0.31415
bahamas	grenada	0.35616
bahamas	trinidad_tobago	0.08352
bahamas	curacao	0.89241
bahamas	aruba	0.41304
bahamas	french_guiana	0.844
bahamas	suriname	0.66015
bahamas	guyana	0.28661
bahamas	venezuela	0.89043
bahamas	colombia	0.76708
bahamas	ecuador	0.63976
bahamas	peru	0.78924
bahamas	bolivia	0.68911
bahamas	brazil	0.85933
bahamas	paraguay	0.59924
bahamas	uruguay	0.9546
bahamas	argentina	0.91893
bahamas	chile	0.89697
cuba	canada	0.82006
cuba	united_states	0.81788
cuba	bermuda	1.0
cuba	mexico	0.79517
cuba	belize	0.43845
cuba	guatemala	0.5203
cuba	honduras	0.55315
cuba	el_salvador	0.67189
cuba	nicaragua	0.59107
cuba	costa_rica	0.77675
cuba	panama	0.66895
cuba	bahamas	0.82951
cuba	turks_caicos_islands	0.92502
cuba	cayman_islands	1.0
cuba	jamaica	0.5503
cuba	haiti	0.59794
cuba	dominican_republic	0.79841
cuba	puerto_rico	0.93569
cuba	united_states_virgin_islands	0.95459
cuba	saint_kitts_nevis	0.32153
cuba	antigua_barbuda	0.23393
cuba	guadeloupe	0.984
cuba	dominica	0.6982
cuba	martinique	0.889
cuba	saint_lucia	0.1854
cuba	saint_vincent_grenadines	0.50899
cuba	barbados	0.31415
cuba	grenada	0.35616
cuba	trinidad_tobago	0.08352
cuba	curacao	0.89241
cuba	aruba	0.41304
cuba	french_guiana	0.844
cuba	suriname	0.66015
cuba	guyana	0.28661
cuba	venezuela	0.89043
cuba	colombia	0.76708
cuba	ecuador	0.63976
cuba	peru	0.78924
cuba	bolivia	0.68911
cuba	brazil	0.85933
cuba	paraguay	0.59924
cuba	uruguay	0.9546
cuba	argentina	0.91893
cuba	chile	0.89697
turks_caicos_islands	canada	0.82006
turks_caicos_islands	united_states	0.81788
turks_caicos_islands	bermuda	1.0
turks_caicos_islands	mexico	0.79517
turks_caicos_islands	belize	0.43845
turks_caicos_islands	guatemala	0.5203
turks_caicos_islands	honduras	0.55315
turks_caicos_islands	el_salvador	0.67189
turks_caicos_islands	nicaragua	0.59107
turks_caicos_islands	costa_rica	0.77675
turks_caicos_islands	panama	0.66895
turks_caicos_islands	bahamas	0.82951
turks_caicos_islands	cuba	0.77184
turks_caicos_islands	cayman_islands	1.0
turks_caicos_islands	jamaica	0.5503
turks_caicos_islands	haiti	0.59794
turks_caicos_islands	dominican_republic	0.79841
turks_caicos_islands	puerto_rico	0.93569
turks_caicos_islands	united_states_virgin_islands	0.95459
turks_caicos_islands	saint_kitts_nevis	0.32153
turks_caicos_islands	antigua_barbuda	0.23393
turks_caicos_islands	guadeloupe	0.984
turks_caicos_islands	dominica	0.6982
turks_caicos_islands	martinique	0.889
turks_caicos_islands	saint_lucia	0.1854
turks_caicos_islands	saint_vincent_grenadines	0.50899
turks_caicos_islands	barbados	0.31415
turks_caicos_islands	grenada	0.35616
turks_caicos_islands	trinidad_tobago	0.08352
turks_caicos_islands	curacao	0.89241
turks_caicos_islands	aruba	0.41304
turks_caicos_islands	french_guiana	0.844
turks_caicos_islands	suriname	0.66015
turks_caicos_islands	guyana	0.28661
turks_caicos_islands	venezuela	0.89043
turks_caicos_islands	colombia	0.76708
turks_caicos_islands	ecuador	0.63976
turks_caicos_islands	peru	0.78924
turks_caicos_islands	bolivia	0.68911
turks_caicos_islands	brazil	0.85933
turks_caicos_islands	paraguay	0.59924
turks_caicos_islands	uruguay	0.9546
turks_caicos_islands	argentina	0.91893
turks_caicos_islands	chile	0.89697
cayman_islands	canada	0.82006
cayman_islands	united_states	0.81788
cayman_islands	bermuda	1.0
cayman_islands	mexico	0.79517
cayman_islands	belize	0.43845
cayman_islands	guatemala	0.5203
cayman_islands	honduras	0.55315
cayman_islands	el_salvador	0.67189
cayman_islands	nicaragua	0.59107
cayman_islands	costa_rica	0.77675
cayman_islands	panama	0.66895
cayman_islands	bahamas	0.82951
cayman_islands	cuba	0.77184
cayman_islands	turks_caicos_islands	0.92502
cayman_islands	jamaica	0.5503
cayman_islands	haiti	0.59794
cayman_islands	dominican_republic	0.79841
cayman_islands	puerto_rico	0.93569
cayman_islands	united_states_virgin_islands	0.95459
cayman_islands	saint_kitts_nevis	0.32153
cayman_islands	antigua_barbuda	0.23393
cayman_islands	guadeloupe	0.984
cayman_islands	dominica	0.6982
cayman_islands	martinique	0.889
cayman_islands	saint_lucia	0.1854
cayman_islands	saint_vincent_grenadines	0.50899
cayman_islands	barbados	0.31415
cayman_islands	grenada	0.35616
cayman_islands	trinidad_tobago	0.08352
cayman_islands	curacao	0.89241
cayman_islands	aruba	0.41304
cayman_islands	french_guiana	0.844
cayman_islands	suriname	0.66015
cayman_islands	guyana	0.28661
cayman_islands	venezuela	0.89043
cayman_islands	colombia	0.76708
cayman_islands	ecuador	0.63976
cayman_islands	peru	0.78924
cayman_islands	bolivia	0.68911
cayman_islands	brazil	0.85933
cayman_islands	paraguay	0.59924
cayman_islands	uruguay	0.9546
cayman_islands	argentina	0.91893
cayman_islands	chile	0.89697
jamaica	canada	0.82006
jamaica	united_states	0.81788
jamaica	bermuda	1.0
jamaica	mexico	0.79517
jamaica	belize	0.43845
jamaica	guatemala	0.5203
jamaica	honduras	0.55315
jamaica	el_salvador	0.67189
jamaica	nicaragua	0.59107
jamaica	costa_rica	0.77675
jamaica	panama	0.66895
jamaica	bahamas	0.82951
jamaica	cuba	0.77184
jamaica	turks_caicos_islands	0.92502
jamaica	cayman_islands	1.0
jamaica	haiti	0.59794
