origin	destination	origin_urban_proportion
canada	united_states	0.82006
canada	bermuda	0.82006
canada	mexico	0.82006
canada	belize	0.82006
canada	guatemala	0.82006
canada	honduras	0.82006
canada	el_salvador	0.82006
canada	nicaragua	0.82006
canada	costa_rica	0.82006
canada	panama	0.82006
canada	bahamas	0.82006
canada	cuba	0.82006
canada	turks_caicos_islands	0.82006
canada	cayman_islands	0.82006
canada	jamaica	0.82006
canada	haiti	0.82006
canada	dominican_republic	0.82006
canada	puerto_rico	0.82006
canada	united_states_virgin_islands	0.82006
canada	saint_kitts_nevis	0.82006
canada	antigua_barbuda	0.82006
canada	guadeloupe	0.82006
canada	dominica	0.82006
canada	martinique	0.82006
canada	saint_lucia	0.82006
canada	saint_vincent_grenadines	0.82006
canada	barbados	0.82006
canada	grenada	0.82006
canada	trinidad_tobago	0.82006
canada	curacao	0.82006
canada	aruba	0.82006
canada	french_guiana	0.82006
canada	suriname	0.82006
canada	guyana	0.82006
canada	venezuela	0.82006
canada	colombia	0.82006
canada	ecuador	0.82006
canada	peru	0.82006
canada	bolivia	0.82006
canada	brazil	0.82006
canada	paraguay	0.82006
canada	uruguay	0.82006
canada	argentina	0.82006
canada	chile	0.82006
united_states	canada	0.81788
united_states	bermuda	0.81788
united_states	mexico	0.81788
united_states	belize	0.81788
united_states	guatemala	0.81788
united_states	honduras	0.81788
united_states	el_salvador	0.81788
united_states	nicaragua	0.81788
united_states	costa_rica	0.81788
united_states	panama	0.81788
united_states	bahamas	0.81788
united_states	cuba	0.81788
united_states	turks_caicos_islands	0.81788
united_states	cayman_islands	0.81788
united_states	jamaica	0.81788
united_states	haiti	0.81788
united_states	dominican_republic	0.81788
united_states	puerto_rico	0.81788
united_states	united_states_virgin_islands	0.81788
united_states	saint_kitts_nevis	0.81788
united_states	antigua_barbuda	0.81788
united_states	guadeloupe	0.81788
united_states	dominica	0.81788
united_states	martinique	0.81788
united_states	saint_lucia	0.81788
united_states	saint_vincent_grenadines	0.81788
united_states	barbados	0.81788
united_states	grenada	0.81788
united_states	trinidad_tobago	0.81788
united_states	curacao	0.81788
united_states	aruba	0.81788
united_states	french_guiana	0.81788
united_states	suriname	0.81788
united_states	guyana	0.81788
united_states	venezuela	0.81788
united_states	colombia	0.81788
united_states	ecuador	0.81788
united_states	peru	0.81788
united_states	bolivia	0.81788
united_states	brazil	0.81788
united_states	paraguay	0.81788
united_states	uruguay	0.81788
united_states	argentina	0.81788
united_states	chile	0.81788
bermuda	canada	1.0
bermuda	united_states	1.0
bermuda	mexico	1.0
bermuda	belize	1.0
bermuda	guatemala	1.0
bermuda	honduras	1.0
bermuda	el_salvador	1.0
bermuda	nicaragua	1.0
bermuda	costa_rica	1.0
bermuda	panama	1.0
bermuda	bahamas	1.0
bermuda	cuba	1.0
bermuda	turks_caicos_islands	1.0
bermuda	cayman_islands	1.0
bermuda	jamaica	1.0
bermuda	haiti	1.0
bermuda	dominican_republic	1.0
bermuda	puerto_rico	1.0
bermuda	united_states_virgin_islands	1.0
bermuda	saint_kitts_nevis	1.0
bermuda	antigua_barbuda	1.0
bermuda	guadeloupe	1.0
bermuda	dominica	1.0
bermuda	martinique	1.0
bermuda	saint_lucia	1.0
bermuda	saint_vincent_grenadines	1.0
bermuda	barbados	1.0
bermuda	grenada	1.0
bermuda	trinidad_tobago	1.0
bermuda	curacao	1.0
bermuda	aruba	1.0
bermuda	french_guiana	1.0
bermuda	suriname	1.0
bermuda	guyana	1.0
bermuda	venezuela	1.0
bermuda	colombia	1.0
bermuda	ecuador	1.0
bermuda	peru	1.0
bermuda	bolivia	1.0
bermuda	brazil	1.0
bermuda	paraguay	1.0
bermuda	uruguay	1.0
bermuda	argentina	1.0
bermuda	chile	1.0
mexico	canada	0.79517
mexico	united_states	0.79517
mexico	bermuda	0.79517
mexico	belize	0.79517
mexico	guatemala	0.79517
mexico	honduras	0.79517
mexico	el_salvador	0.79517
mexico	nicaragua	0.79517
mexico	costa_rica	0.79517
mexico	panama	0.79517
mexico	bahamas	0.79517
mexico	cuba	0.79517
mexico	turks_caicos_islands	0.79517
mexico	cayman_islands	0.79517
mexico	jamaica	0.79517
mexico	haiti	0.79517
mexico	dominican_republic	0.79517
mexico	puerto_rico	0.79517
mexico	united_states_virgin_islands	0.79517
mexico	saint_kitts_nevis	0.79517
mexico	antigua_barbuda	0.79517
mexico	guadeloupe	0.79517
mexico	dominica	0.79517
mexico	martinique	0.79517
mexico	saint_lucia	0.79517
mexico	saint_vincent_grenadines	0.79517
mexico	barbados	0.79517
mexico	grenada	0.79517
mexico	trinidad_tobago	0.79517
mexico	curacao	0.79517
mexico	aruba	0.79517
mexico	french_guiana	0.79517
mexico	suriname	0.79517
mexico	guyana	0.79517
mexico	venezuela	0.79517
mexico	colombia	0.79517
mexico	ecuador	0.79517
mexico	peru	0.79517
mexico	bolivia	0.79517
mexico	brazil	0.79517
mexico	paraguay	0.79517
mexico	uruguay	0.79517
mexico	argentina	0.79517
mexico	chile	0.79517
belize	canada	0.43845
belize	united_states	0.43845
belize	bermuda	0.43845
belize	mexico	0.43845
belize	guatemala	0.43845
belize	honduras	0.43845
belize	el_salvador	0.43845
belize	nicaragua	0.43845
belize	costa_rica	0.43845
belize	panama	0.43845
belize	bahamas	0.43845
belize	cuba	0.43845
belize	turks_caicos_islands	0.43845
belize	cayman_islands	0.43845
belize	jamaica	0.43845
belize	haiti	0.43845
belize	dominican_republic	0.43845
belize	puerto_rico	0.43845
belize	united_states_virgin_islands	0.43845
belize	saint_kitts_nevis	0.43845
belize	antigua_barbuda	0.43845
belize	guadeloupe	0.43845
belize	dominica	0.43845
belize	martinique	0.43845
belize	saint_lucia	0.43845
belize	saint_vincent_grenadines	0.43845
belize	barbados	0.43845
belize	grenada	0.43845
belize	trinidad_tobago	0.43845
belize	curacao	0.43845
belize	aruba	0.43845
belize	french_guiana	0.43845
belize	suriname	0.43845
belize	guyana	0.43845
belize	venezuela	0.43845
belize	colombia	0.43845
belize	ecuador	0.43845
belize	peru	0.43845
belize	bolivia	0.43845
belize	brazil	0.43845
belize	paraguay	0.43845
belize	uruguay	0.43845
belize	argentina	0.43845
belize	chile	0.43845
guatemala	canada	0.5203
guatemala	united_states	0.5203
guatemala	bermuda	0.5203
guatemala	mexico	0.5203
guatemala	belize	0.5203
guatemala	honduras	0.5203
guatemala	el_salvador	0.5203
guatemala	nicaragua	0.5203
guatemala	costa_rica	0.5203
guatemala	panama	0.5203
guatemala	bahamas	0.5203
guatemala	cuba	0.5203
guatemala	turks_caicos_islands	0.5203
guatemala	cayman_islands	0.5203
guatemala	jamaica	0.5203
guatemala	haiti	0.5203
guatemala	dominican_republic	0.5203
guatemala	puerto_rico	0.5203
guatemala	united_states_virgin_islands	0.5203
guatemala	saint_kitts_nevis	0.5203
guatemala	antigua_barbuda	0.5203
guatemala	guadeloupe	0.5203
guatemala	dominica	0.5203
guatemala	martinique	0.5203
guatemala	saint_lucia	0.5203
guatemala	saint_vincent_grenadines	0.5203
guatemala	barbados	0.5203
guatemala	grenada	0.5203
guatemala	trinidad_tobago	0.5203
guatemala	curacao	0.5203
guatemala	aruba	0.5203
guatemala	french_guiana	0.5203
guatemala	suriname	0.5203
guatemala	guyana	0.5203
guatemala	venezuela	0.5203
guatemala	colombia	0.5203
guatemala	ecuador	0.5203
guatemala	peru	0.5203
guatemala	bolivia	0.5203
guatemala	brazil	0.5203
guatemala	paraguay	0.5203
guatemala	uruguay	0.5203
guatemala	argentina	0.5203
guatemala	chile	0.5203
honduras	canada	0.55315
honduras	united_states	0.55315
honduras	bermuda	0.55315
honduras	mexico	0.55315
honduras	belize	0.55315
honduras	guatemala	0.55315
honduras	el_salvador	0.55315
honduras	nicaragua	0.55315
honduras	costa_rica	0.55315
honduras	panama	0.55315
honduras	bahamas	0.55315
honduras	cuba	0.55315
honduras	turks_caicos_islands	0.55315
honduras	cayman_islands	0.55315
honduras	jamaica	0.55315
honduras	haiti	0.55315
honduras	dominican_republic	0.55315
honduras	puerto_rico	0.55315
honduras	united_states_virgin_islands	0.55315
honduras	saint_kitts_nevis	0.55315
honduras	antigua_barbuda	0.55315
honduras	guadeloupe	0.55315
honduras	dominica	0.55315
honduras	martinique	0.55315
honduras	saint_lucia	0.55315
honduras	saint_vincent_grenadines	0.55315
honduras	barbados	0.55315
honduras	grenada	0.55315
honduras	trinidad_tobago	0.55315
honduras	curacao	0.55315
honduras	aruba	0.55315
honduras	french_guiana	0.55315
honduras	suriname	0.55315
honduras	guyana	0.55315
honduras	venezuela	0.55315
honduras	colombia	0.55315
honduras	ecuador	0.55315
honduras	peru	0.55315
honduras	bolivia	0.55315
honduras	brazil	0.55315
honduras	paraguay	0.55315
honduras	uruguay	0.55315
honduras	argentina	0.55315
honduras	chile	0.55315
el_salvador	canada	0.67189
el_salvador	united_states	0.67189
el_salvador	bermuda	0.67189
el_salvador	mexico	0.67189
el_salvador	belize	0.67189
el_salvador	guatemala	0.67189
el_salvador	honduras	0.67189
el_salvador	nicaragua	0.67189
el_salvador	costa_rica	0.67189
el_salvador	panama	0.67189
el_salvador	bahamas	0.67189
el_salvador	cuba	0.67189
el_salvador	turks_caicos_islands	0.67189
el_salvador	cayman_islands	0.67189
el_salvador	jamaica	0.67189
el_salvador	haiti	0.67189
el_salvador	dominican_republic	0.67189
el_salvador	puerto_rico	0.67189
el_salvador	united_states_virgin_islands	0.67189
el_salvador	saint_kitts_nevis	0.67189
el_salvador	antigua_barbuda	0.67189
el_salvador	guadeloupe	0.67189
el_salvador	dominica	0.67189
el_salvador	martinique	0.67189
el_salvador	saint_lucia	0.67189
el_salvador	saint_vincent_grenadines	0.67189
el_salvador	barbados	0.67189
el_salvador	grenada	0.67189
el_salvador	trinidad_tobago	0.67189
el_salvador	curacao	0.67189
el_salvador	aruba	0.67189
el_salvador	french_guiana	0.67189
el_salvador	suriname	0.67189
el_salvador	guyana	0.67189
el_salvador	venezuela	0.67189
el_salvador	colombia	0.67189
el_salvador	ecuador	0.67189
el_salvador	peru	0.67189
el_salvador	bolivia	0.67189
el_salvador	brazil	0.67189
el_salvador	paraguay	0.67189
el_salvador	uruguay	0.67189
el_salvador	argentina	0.67189
el_salvador	chile	0.67189
nicaragua	canada	0.59107
nicaragua	united_states	0.59107
nicaragua	bermuda	0.59107
nicaragua	mexico	0.59107
nicaragua	belize	0.59107
nicaragua	guatemala	0.59107
nicaragua	honduras	0.59107
nicaragua	el_salvador	0.59107
nicaragua	costa_rica	0.59107
nicaragua	panama	0.59107
nicaragua	bahamas	0.59107
nicaragua	cuba	0.59107
nicaragua	turks_caicos_islands	0.59107
nicaragua	cayman_islands	0.59107
nicaragua	jamaica	0.59107
nicaragua	haiti	0.59107
nicaragua	dominican_republic	0.59107
nicaragua	puerto_rico	0.59107
nicaragua	united_states_virgin_islands	0.59107
nicaragua	saint_kitts_nevis	0.59107
nicaragua	antigua_barbuda	0.59107
nicaragua	guadeloupe	0.59107
nicaragua	dominica	0.59107
nicaragua	martinique	0.59107
nicaragua	saint_lucia	0.59107
nicaragua	saint_vincent_grenadines	0.59107
nicaragua	barbados	0.59107
nicaragua	grenada	0.59107
nicaragua	trinidad_tobago	0.59107
nicaragua	curacao	0.59107
nicaragua	aruba	0.59107
nicaragua	french_guiana	0.59107
nicaragua	suriname	0.59107
nicaragua	guyana	0.59107
nicaragua	venezuela	0.59107
nicaragua	colombia	0.59107
nicaragua	ecuador	0.59107
nicaragua	peru	0.59107
nicaragua	bolivia	0.59107
nicaragua	brazil	0.59107
nicaragua	paraguay	0.59107
nicaragua	uruguay	0.59107
nicaragua	argentina	0.59107
nicaragua	chile	0.59107
costa_rica	canada	0.77675
costa_rica	united_states	0.77675
costa_rica	bermuda	0.77675
costa_rica	mexico	0.77675
costa_rica	belize	0.77675
costa_rica	guatemala	0.77675
costa_rica	honduras	0.77675
costa_rica	el_salvador	0.77675
costa_rica	nicaragua	0.77675
costa_rica	panama	0.77675
costa_rica	bahamas	0.77675
costa_rica	cuba	0.77675
costa_rica	turks_caicos_islands	0.77675
costa_rica	cayman_islands	0.77675
costa_rica	jamaica	0.77675
costa_rica	haiti	0.77675
costa_rica	dominican_republic	0.77675
costa_rica	puerto_rico	0.77675
costa_rica	united_states_virgin_islands	0.77675
costa_rica	saint_kitts_nevis	0.77675
costa_rica	antigua_barbuda	0.77675
costa_rica	guadeloupe	0.77675
costa_rica	dominica	0.77675
costa_rica	martinique	0.77675
costa_rica	saint_lucia	0.77675
costa_rica	saint_vincent_grenadines	0.77675
costa_rica	barbados	0.77675
costa_rica	grenada	0.77675
costa_rica	trinidad_tobago	0.77675
costa_rica	curacao	0.77675
costa_rica	aruba	0.77675
costa_rica	french_guiana	0.77675
costa_rica	suriname	0.77675
costa_rica	guyana	0.77675
costa_rica	venezuela	0.77675
costa_rica	colombia	0.77675
costa_rica	ecuador	0.77675
costa_rica	peru	0.77675
costa_rica	bolivia	0.77675
costa_rica	brazil	0.77675
costa_rica	paraguay	0.77675
costa_rica	uruguay	0.77675
costa_rica	argentina	0.77675
costa_rica	chile	0.77675
panama	canada	0.66895
panama	united_states	0.66895
panama	bermuda	0.66895
panama	mexico	0.66895
panama	belize	0.66895
panama	guatemala	0.66895
panama	honduras	0.66895
panama	el_salvador	0.66895
panama	nicaragua	0.66895
panama	costa_rica	0.66895
panama	bahamas	0.66895
panama	cuba	0.66895
panama	turks_caicos_islands	0.66895
panama	cayman_islands	0.66895
panama	jamaica	0.66895
panama	haiti	0.66895
panama	dominican_republic	0.66895
panama	puerto_rico	0.66895
panama	united_states_virgin_islands	0.66895
panama	saint_kitts_nevis	0.66895
panama	antigua_barbuda	0.66895
panama	guadeloupe	0.66895
panama	dominica	0.66895
panama	martinique	0.66895
panama	saint_lucia	0.66895
panama	saint_vincent_grenadines	0.66895
panama	barbados	0.66895
panama	grenada	0.66895
panama	trinidad_tobago	0.66895
panama	curacao	0.66895
panama	aruba	0.66895
panama	french_guiana	0.66895
panama	suriname	0.66895
panama	guyana	0.66895
panama	venezuela	0.66895
panama	colombia	0.66895
panama	ecuador	0.66895
panama	peru	0.66895
panama	bolivia	0.66895
panama	brazil	0.66895
panama	paraguay	0.66895
panama	uruguay	0.66895
panama	argentina	0.66895
panama	chile	0.66895
bahamas	canada	0.82951
bahamas	united_states	0.82951
bahamas	bermuda	0.82951
bahamas	mexico	0.82951
bahamas	belize	0.82951
bahamas	guatemala	0.82951
bahamas	honduras	0.82951
bahamas	el_salvador	0.82951
bahamas	nicaragua	0.82951
bahamas	costa_rica	0.82951
bahamas	panama	0.82951
bahamas	cuba	0.82951
bahamas	turks_caicos_islands	0.82951
bahamas	cayman_islands	0.82951
bahamas	jamaica	0.82951
bahamas	haiti	0.82951
bahamas	dominican_republic	0.82951
bahamas	puerto_rico	0.82951
bahamas	united_states_virgin_islands	0.82951
bahamas	saint_kitts_nevis	0.82951
bahamas	antigua_barbuda	0.82951
bahamas	guadeloupe	0.82951
bahamas	dominica	0.82951
bahamas	martinique	0.82951
bahamas	saint_lucia	0.82951
bahamas	saint_vincent_grenadines	0.82951
bahamas	barbados	0.82951
bahamas	grenada	0.82951
bahamas	trinidad_tobago	0.82951
bahamas	curacao	0.82951
bahamas	aruba	0.82951
bahamas	french_guiana	0.82951
bahamas	suriname	0.82951
bahamas	guyana	0.82951
bahamas	venezuela	0.82951
bahamas	colombia	0.82951
bahamas	ecuador	0.82951
bahamas	peru	0.82951
bahamas	bolivia	0.82951
bahamas	brazil	0.82951
bahamas	paraguay	0.82951
bahamas	uruguay	0.82951
bahamas	argentina	0.82951
bahamas	chile	0.82951
cuba	canada	0.77184
cuba	united_states	0.77184
cuba	bermuda	0.77184
cuba	mexico	0.77184
cuba	belize	0.77184
cuba	guatemala	0.77184
cuba	honduras	0.77184
cuba	el_salvador	0.77184
cuba	nicaragua	0.77184
cuba	costa_rica	0.77184
cuba	panama	0.77184
cuba	bahamas	0.77184
cuba	turks_caicos_islands	0.77184
cuba	cayman_islands	0.77184
cuba	jamaica	0.77184
cuba	haiti	0.77184
cuba	dominican_republic	0.77184
cuba	puerto_rico	0.77184
cuba	united_states_virgin_islands	0.77184
cuba	saint_kitts_nevis	0.77184
cuba	antigua_barbuda	0.77184
cuba	guadeloupe	0.77184
cuba	dominica	0.77184
cuba	martinique	0.77184
cuba	saint_lucia	0.77184
cuba	saint_vincent_grenadines	0.77184
cuba	barbados	0.77184
cuba	grenada	0.77184
cuba	trinidad_tobago	0.77184
cuba	curacao	0.77184
cuba	aruba	0.77184
cuba	french_guiana	0.77184
cuba	suriname	0.77184
cuba	guyana	0.77184
cuba	venezuela	0.77184
cuba	colombia	0.77184
cuba	ecuador	0.77184
cuba	peru	0.77184
cuba	bolivia	0.77184
cuba	brazil	0.77184
cuba	paraguay	0.77184
cuba	uruguay	0.77184
cuba	argentina	0.77184
cuba	chile	0.77184
turks_caicos_islands	canada	0.92502
turks_caicos_islands	united_states	0.92502
turks_caicos_islands	bermuda	0.92502
turks_caicos_islands	mexico	0.92502
turks_caicos_islands	belize	0.92502
turks_caicos_islands	guatemala	0.92502
turks_caicos_islands	honduras	0.92502
turks_caicos_islands	el_salvador	0.92502
turks_caicos_islands	nicaragua	0.92502
turks_caicos_islands	costa_rica	0.92502
turks_caicos_islands	panama	0.92502
turks_caicos_islands	bahamas	0.92502
turks_caicos_islands	cuba	0.92502
turks_caicos_islands	cayman_islands	0.92502
turks_caicos_islands	jamaica	0.92502
turks_caicos_islands	haiti	0.92502
turks_caicos_islands	dominican_republic	0.92502
turks_caicos_islands	puerto_rico	0.92502
turks_caicos_islands	united_states_virgin_islands	0.92502
turks_caicos_islands	saint_kitts_nevis	0.92502
turks_caicos_islands	antigua_barbuda	0.92502
turks_caicos_islands	guadeloupe	0.92502
turks_caicos_islands	dominica	0.92502
turks_caicos_islands	martinique	0.92502
turks_caicos_islands	saint_lucia	0.92502
turks_caicos_islands	saint_vincent_grenadines	0.92502
turks_caicos_islands	barbados	0.92502
turks_caicos_islands	grenada	0.92502
turks_caicos_islands	trinidad_tobago	0.92502
turks_caicos_islands	curacao	0.92502
turks_caicos_islands	aruba	0.92502
turks_caicos_islands	french_guiana	0.92502
turks_caicos_islands	suriname	0.92502
turks_caicos_islands	guyana	0.92502
turks_caicos_islands	venezuela	0.92502
turks_caicos_islands	colombia	0.92502
turks_caicos_islands	ecuador	0.92502
turks_caicos_islands	peru	0.92502
turks_caicos_islands	bolivia	0.92502
turks_caicos_islands	brazil	0.92502
turks_caicos_islands	paraguay	0.92502
turks_caicos_islands	uruguay	0.92502
turks_caicos_islands	argentina	0.92502
turks_caicos_islands	chile	0.92502
cayman_islands	canada	1.0
cayman_islands	united_states	1.0
cayman_islands	bermuda	1.0
cayman_islands	mexico	1.0
cayman_islands	belize	1.0
cayman_islands	guatemala	1.0
cayman_islands	honduras	1.0
cayman_islands	el_salvador	1.0
cayman_islands	nicaragua	1.0
cayman_islands	costa_rica	1.0
cayman_islands	panama	1.0
cayman_islands	bahamas	1.0
cayman_islands	cuba	1.0
cayman_islands	turks_caicos_islands	1.0
cayman_islands	jamaica	1.0
cayman_islands	haiti	1.0
cayman_islands	dominican_republic	1.0
cayman_islands	puerto_rico	1.0
cayman_islands	united_states_virgin_islands	1.0
cayman_islands	saint_kitts_nevis	1.0
cayman_islands	antigua_barbuda	1.0
cayman_islands	guadeloupe	1.0
cayman_islands	dominica	1.0
cayman_islands	martinique	1.0
cayman_islands	saint_lucia	1.0
cayman_islands	saint_vincent_grenadines	1.0
cayman_islands	barbados	1.0
cayman_islands	grenada	1.0
cayman_islands	trinidad_tobago	1.0
cayman_islands	curacao	1.0
cayman_islands	aruba	1.0
cayman_islands	french_guiana	1.0
cayman_islands	suriname	1.0
cayman_islands	guyana	1.0
cayman_islands	venezuela	1.0
cayman_islands	colombia	1.0
cayman_islands	ecuador	1.0
cayman_islands	peru	1.0
cayman_islands	bolivia	1.0
cayman_islands	brazil	1.0
cayman_islands	paraguay	1.0
cayman_islands	uruguay	1.0
cayman_islands	argentina	1.0
cayman_islands	chile	1.0
jamaica	canada	0.5503
jamaica	united_states	0.5503
jamaica	bermuda	0.5503
jamaica	mexico	0.5503
jamaica	belize	0.5503
jamaica	guatemala	0.5503
jamaica	honduras	0.5503
jamaica	el_salvador	0.5503
jamaica	nicaragua	0.5503
jamaica	costa_rica	0.5503
jamaica	panama	0.5503
jamaica	bahamas	0.5503
jamaica	cuba	0.5503
jamaica	turks_caicos_islands	0.5503
jamaica	cayman_islands	0.5503
jamaica	haiti	0.5503
jamaica	dominican_republic	0.5503
jamaica	puerto_rico	0.5503
jamaica	united_states_virgin_islands	0.5503
